subject,stage,chan,P1_window,N1_window,P2_window,N2_window,MMN1_window,P1_975,P1_1000,P1_1025,N1_975,N1_1000,N1_1025,P2_975,P2_1000,P2_1025,N2_975,N2_1000,N2_1025,MMN1_975,MMN1_975_latency,MMN1_1025,MMN1_1025_latency,P1-N1_975,P1-N1_1000,P1-N1_1025
1,before,FC4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.457218983833237,4.8965397164353925,4.26588638876038,-0.5041330028413953,3.3857268976322232,3.729785716880978,-0.4691496931387296,2.903482461255685,3.898280718126027,-12.329982717433676,-6.082088642120624,-5.408683415604073,-6.837938282723472,240.0,-4.6550831733676,366.0,2.9613519866746323,1.5108128188031693,0.5361006718794026
1,before,F3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",4.843583145180994,5.2318878556656685,7.583020250824615,1.4631773717021082,4.4199615063582005,5.000748590894211,1.5129282937577693,4.113464078627147,7.044023138372244,-11.378374816530139,-6.344954119968009,-7.249688340828977,-5.759126361543112,360.0,-4.462256757546819,364.0,3.380405773478886,0.811926349307468,2.582271659930404
1,before,F4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.721195474597191,5.461390179296691,5.089837377025407,-0.4285025463931036,3.0729261812913387,3.059893489151896,-0.3814136796199016,3.1496734944545857,5.191348070962891,-12.4865271715903,-6.4350545975642275,-5.970755463683603,-6.617213411406337,238.0,-4.7299794920042135,368.0,3.1496980209902947,2.3884639980053524,2.0299438878735105
1,before,C3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.6253534325276893,3.143473344042725,5.040732088822899,-0.6353196356045483,2.5483671628880944,2.900813052776681,0.157730462046862,3.1085451255702914,5.80659854664773,-7.647471890185323,-3.9554367773476233,-5.162349530609856,-3.7688434879811714,356.0,-4.094183486482514,370.0,3.2606730681322373,0.5951061811546308,2.1399190360462175
1,before,C4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",0.2410840568909608,3.295152232894808,3.710415782534936,-1.8822423242529736,1.6559905241833144,2.7466493011514688,-0.3064393329664794,2.147122092617077,3.582079001019128,-10.686663733445572,-4.8604608479821225,-3.338920472402616,-6.3054656229031885,222.0,-3.3401399574321893,366.0,2.1233263811439342,1.6391617087114938,0.9637664813834674
1,before,Fz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.956031816226045,6.000282969273771,7.354022961634369,0.6278329478036198,3.2996225029068365,3.036723693319592,2.0545413703101767,4.525321599164347,6.960544536363814,-11.485054440644245,-6.270478870624242,-6.625527506189867,-5.685974922013575,240.0,-4.450395946130246,368.0,3.328198868422425,2.7006604663669345,4.317299268314777
1,before,Cz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.214156464079669,3.7375490418305097,5.2112846981748655,-3.0416864974170776,1.2968714487746964,2.3582843627245595,1.342487791096073,4.57398973727351,6.681644106885036,-9.788965956130204,-4.197930040784412,-2.8780875516668982,-6.020256563587168,240.0,-4.581187667556183,368.0,5.255842961496747,2.4406775930558133,2.853000335450306
1,before,FCz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.3327739225228594,5.162548273595604,6.4065084798340095,-1.4665012951893914,2.6628106166259005,2.7851476929562877,1.6860444482719117,4.958643873992001,6.950098646844719,-11.628615702501328,-5.457476841210563,-4.8530332241166185,-6.752449722541441,242.0,-4.658161451106173,368.0,4.799275217712251,2.4997376569697036,3.621360786877722
1,before,FC3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",4.71013384238619,4.796499976891886,6.777126191666553,1.7104305500295232,4.488137707959287,4.694918125207519,2.156940562888317,4.2224731498603125,7.093869138325361,-9.185358258122507,-5.664705613867956,-7.068937897091528,-4.366919645713286,356.0,-4.187635883462521,344.0,2.999703292356667,0.30836226893259955,2.0822080664590334
1,after,FC4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",6.529527983687266,6.51372092128633,6.07647263784749,4.522489631483669,2.8278196275172034,3.4459682413572716,5.928184102995526,1.821510555069921,5.73593056750658,-5.500267292062321,-6.689935445766028,-4.258880136493054,-2.851991989742844,386.0,-0.16333092748200828,398.0,2.0070383522035966,3.6859012937691267,2.6305043964902186
1,after,F3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",7.3487816997729185,7.0497813274329495,7.2146438091736815,6.793947398324377,5.221503525983786,5.845632769119071,8.14607764901122,3.0781162704187586,7.574543165236259,-6.6576350316323865,-7.3860489056732055,-5.622008757363774,-1.1871377174355926,348.0,0.6509869785394331,276.0,0.5548343014485413,1.8282778014491639,1.3690110400546107
1,after,F4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",7.808860596184827,6.941799811338181,7.053378636811263,4.816875805679231,2.755474001070626,3.491808256527754,6.7848096915247735,1.780477490035055,5.502405765211956,-5.36479362700632,-7.043978383757147,-5.236907877721743,-2.0882218245770363,328.0,0.23172979798226923,266.0,2.9919847905055956,4.186325810267555,3.561570380283509
1,after,C3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.6237542062442296,3.9346961717555966,4.728880396289601,4.048798794481011,2.424810893142572,3.227486817276913,5.596394092255959,1.748230249444791,7.022167561684543,-4.5858968884412565,-5.550389346786607,-3.2140147975253144,-1.3883268193728462,362.0,-0.4724151387477278,392.0,-0.4250445882367817,1.5098852786130248,1.5013935790126882
1,after,C4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",4.205317432216195,4.679999717311398,3.139435163636172,2.7174413666034885,1.3218936425227978,2.6681979770588042,4.780796552248581,1.6401410587753391,5.020027489948052,-4.34915830227542,-5.019699541968566,-2.7785209335703063,-2.256598664182225,390.0,-1.3026924389461896,398.0,1.4878760656127068,3.3581060747886005,0.4712371865773677
1,after,Fz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",8.219517105295482,7.01303523652032,6.930731614162881,4.869372096379485,3.4394998374804886,3.823367940420609,7.555230134454184,3.4155420287594507,6.637240596801852,-6.459739736453685,-6.97939311408911,-6.352581067334016,-3.5080538969554422,334.0,-0.7805712587223681,284.0,3.350145008915997,3.5735353990398315,3.107363673742272
1,after,Cz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",4.059475394480808,4.4171481154252845,4.100396694760579,2.187475945011493,1.87385619499336,2.455151274655368,6.808465472960902,3.549375852777422,6.639054396189919,-5.870277200493947,-4.51213005517138,-3.318707388394439,-3.411914296099263,398.0,-2.371028013800513,396.0,1.8719994494693148,2.5432919204319244,1.6452454201052107
1,after,FCz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",6.2680540614795754,5.85112003225843,5.959031596268519,3.7583536949301295,2.8766110114056995,3.8932193570089613,7.8251325340075315,3.8143526229847016,7.233953865997387,-6.28338356551666,-5.884145806447662,-4.643768184054107,-3.08305646957404,352.0,-1.3867143982007866,398.0,2.509700366549446,2.97450902085273,2.065812239259558
1,after,FC3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",5.631837336614983,6.135331677568133,6.477029522782009,5.479083907068374,4.945277324813955,5.872546724806804,7.688984877781683,2.924586686081335,7.4439046894806085,-6.522065012144531,-7.033088480236198,-5.280827639913999,-1.6503255820756817,358.0,0.604228550557091,390.0,0.15275342954660864,1.1900543527541778,0.604482797975205
1,long-term,FC4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",4.720661801932733,6.626559282522181,7.297711389639093,0.817447207839625,3.0424729636425876,3.5139593906813222,0.8931831269571935,1.835532254681962,0.6655171976116315,-6.915324538555758,-6.07662645051292,-7.864427063997688,-2.513966706022926,200.0,-3.507113425089442,354.0,3.9032145940931082,3.5840863188795935,3.783751998957771
1,long-term,F3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",5.8358179167645154,7.195132917874025,7.852756872105581,3.4964589559206813,4.705317163611851,5.1210328751669385,1.4751682127138004,3.5904217807730983,4.5926446359162005,-7.140852067805775,-7.16890334363362,-7.168436356928504,-1.897820819987814,200.0,-2.1333276027510815,390.0,2.339358960843834,2.4898157542621737,2.7317239969386424
1,long-term,F4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",6.096067674811906,7.241805804244727,6.861947809403119,1.4985551113354665,3.1516886177295365,2.8519160511769717,0.5307066926896742,1.6737177920287174,1.4806961860703192,-7.1387247214893215,-6.5370705488858425,-7.966083428520792,-2.0820433194122203,196.0,-4.000156310226855,356.0,4.597512563476439,4.09011718651519,4.010031758226148
1,long-term,C3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.5458850008073024,3.121565703804837,4.871450815479696,0.880101138888292,1.9911937443167231,3.5101679237790533,1.7962378908592198,2.4226185666805677,2.0981582819623883,-4.678626143318594,-4.715209673963599,-5.0844236059527335,-1.6369338579071224,196.0,-1.8633900427406191,184.0,2.66578386191901,1.1303719594881139,1.3612828917006423
1,long-term,C4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.719106401999853,4.374953727980719,5.853201555686646,-0.09383065534822264,1.4219678722313067,2.2342816897453894,0.9270211961089748,1.3798824325622387,1.236600151421105,-5.782294675633236,-4.988713293369466,-5.45013392259645,-2.8014137745830063,200.0,-2.303199919908852,352.0,2.8129370573480754,2.952985855749412,3.618919865941257
1,long-term,Fz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",4.746995659166883,7.241544721406659,7.669387052570379,1.5156303250435317,3.5454044351170295,3.7713869779403484,2.116263425461121,3.719929701963576,4.296382794240635,-6.949556774619232,-6.082880958559092,-6.45726765907428,-2.7001122453481634,200.0,-3.2593539560883995,356.0,3.2313653341233515,3.6961402862896295,3.8980000746300303
1,long-term,Cz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",1.769996258898758,4.021270988990397,5.0612750692251245,-0.8391367689529969,1.395168901615637,2.9717302882292835,3.1917907641346326,3.510958843347208,3.6614775979204692,-5.3497616066396265,-4.1924592694583565,-4.174070436637458,-3.485913347291491,196.0,-2.4523810923989737,354.0,2.6091330278517546,2.6261020873747594,2.089544780995841
1,long-term,FCz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",4.411932535609397,7.055655571409142,7.756987748743031,1.3682620408095258,3.454818567418963,4.017236965526934,2.333906757552446,3.842244568122617,4.616222748894471,-6.7836264725614965,-5.979755065367653,-6.069584400807988,-2.719969911027207,200.0,-2.988352469109662,356.0,3.043670494799871,3.600837003990179,3.7397507832160963
